priceRange,alcohol,noiseLevel,attire,delivery,parking,waiterService,smoking,outdoorSeating,caters,goodForGroups,goodForKids
$,none,average,casual,No,,Yes,,No,No,Yes,
$$,beer_and_wine,average,casual,No,garage,,,Yes,No,Yes,
$$,none,,,,lot,,,,,,
$$,none,,,,lot,,,,,,
$$$,full_bar,quiet,dressy,No,valet,No,,Yes,Yes,Yes,
$,full_bar,quiet,,,,No,yes,No,,Yes,
$$,full_bar,average,casual,No,,Yes,,Yes,,Yes,
$,none,,,,,,,,,,
$$,full_bar,average,casual,No,valet,Yes,,No,No,Yes,
$$,full_bar,average,dressy,No,,Yes,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,,No,Yes,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,,No,Yes,Yes,No
$,none,quiet,casual,No,,No,,No,,Yes,
$$,full_bar,average,casual,No,garage,Yes,outdoor,Yes,No,Yes,No
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,Yes
$$,full_bar,loud,casual,No,garage,Yes,,No,No,Yes,Yes
$$,full_bar,average,casual,No,lot,Yes,,Yes,,Yes,
$,beer_and_wine,average,casual,No,,Yes,,Yes,,Yes,
$,none,quiet,casual,No,,,,No,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,yes,Yes,,Yes,Yes
$$,none,,,,,,,,,,
$$,beer_and_wine,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,full_bar,quiet,casual,No,,No,,No,Yes,Yes,
$,none,,,,garage,,,,,,
$$,full_bar,,casual,No,,,,No,,No,
$$,none,quiet,casual,Yes,lot,No,,No,Yes,Yes,
$,full_bar,,,,,,,Yes,,Yes,
$,full_bar,average,casual,No,street,Yes,no,No,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,No,Yes,
$,none,,casual,No,,,,,,Yes,
$$,none,average,casual,,,Yes,,Yes,No,Yes,
$$,beer_and_wine,quiet,casual,No,lot,Yes,,No,Yes,No,No
$$,full_bar,average,,,street,No,no,No,,Yes,
$$$,none,,,,,,,,,,
$,beer_and_wine,average,casual,No,garage,No,,Yes,Yes,Yes,
$,none,,,,street,,,,,,
$$,beer_and_wine,average,casual,Yes,lot,Yes,,No,Yes,Yes,
$,none,,casual,,,,,,,Yes,
$$,none,average,casual,No,lot,,,Yes,No,Yes,
$$,none,,,,street,,,,,,
$,none,average,casual,No,lot,,,Yes,No,Yes,
$,none,quiet,casual,No,lot,Yes,,No,Yes,Yes,
$,none,average,casual,No,,No,,No,No,Yes,
$$$$,full_bar,,,,,Yes,,No,,,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$,none,,,No,,Yes,,,,Yes,
$$,full_bar,average,casual,No,street,No,,No,,Yes,
$$,full_bar,average,casual,No,street,Yes,outdoor,Yes,No,Yes,
$,none,,casual,Yes,,,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,Yes,Yes,No
$,beer_and_wine,loud,,,street,Yes,outdoor,Yes,,Yes,
$,none,,casual,Yes,,No,,No,,Yes,
$$,none,,,No,lot,,,,,,
$$,beer_and_wine,average,casual,Yes,lot,No,,Yes,Yes,Yes,
$,none,,casual,No,,,,No,,Yes,
$$,full_bar,quiet,casual,,street,No,outdoor,Yes,,Yes,
$,none,quiet,casual,No,,No,,Yes,,Yes,
$$,full_bar,average,casual,No,,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,No,Yes,No
$,none,,casual,No,,Yes,,,,No,
$$$,full_bar,quiet,dressy,No,street,Yes,outdoor,Yes,Yes,Yes,No
$,none,,,,lot,,,,,,
$,beer_and_wine,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$$,none,,,Yes,,,,,,,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,street,No,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,,,,,,,,,,
$$,full_bar,quiet,casual,No,lot,No,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,No,,No,,Yes,
$,none,,,,lot,,,No,,,
$$,full_bar,average,casual,No,lot,Yes,,Yes,No,Yes,
$,none,quiet,casual,,,,,No,,No,
$,none,,casual,Yes,,No,,No,,Yes,
$,full_bar,average,,,,,yes,No,,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,,No,No,Yes,
$$,full_bar,average,casual,No,valet,No,,No,No,Yes,No
$$,none,quiet,casual,Yes,,Yes,,No,Yes,Yes,
$$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,Yes,lot,No,,Yes,,Yes,
$,none,,,,garage,,,Yes,,,
